disease	hpo
OMIM_617596	HP_0000007
OMIM_184500	HP_0012035,HP_0000006
OMIM_219721	HP_0004401,HP_0005230,HP_0001889,HP_0100507,HP_0001648,HP_0006532,HP_0002613,HP_0001249,HP_0009748,HP_0002014,HP_0006538,HP_0000431,HP_0000276,HP_0002097,HP_0005263,HP_0002150,HP_0001738,HP_0000506,HP_0000789,HP_0000007,HP_0008327,HP_0002007,HP_0000047,HP_0000347,HP_0000049
OMIM_602088	HP_0004743,HP_0001562,HP_0003774,HP_0002089,HP_0001696,HP_0005564,HP_0002153,HP_0000090,HP_0010444,HP_0002093,HP_0004719,HP_0000822,HP_0000007,HP_0002878,HP_0003259,HP_0000105,HP_0004734,HP_0005976
OMIM_612233	HP_0000486,HP_0001266,HP_0003487,HP_0001250,HP_0001371,HP_0002187,HP_0001252,HP_0001263,HP_0005484,HP_0001290,HP_0002191,HP_0000639,HP_0000007,HP_0008872,HP_0002415,HP_0002104,HP_0001347,HP_0003623
OMIM_614113	HP_0001212,HP_0000750,HP_0001344,HP_0001250,HP_0000490,HP_0011463,HP_0001263,HP_0009797,HP_0011800,HP_0000336,HP_0001249,HP_0000006
OMIM_308220	HP_0005386,HP_0002718,HP_0001417,HP_0004429,HP_0011840
OMIM_617391	HP_0002069,HP_0000252,HP_0001344,HP_0002353,HP_0002376,HP_0001250,HP_0010819,HP_0001263,HP_0003593,HP_0012448,HP_0001290,HP_0031475,HP_0007270,HP_0032792,HP_0200134,HP_0002119,HP_0000006,HP_0001249,HP_0001336
OMIM_613265	HP_0001100,HP_0002211,HP_0000407,HP_0001053,HP_0002251,HP_0000635,HP_0000007,HP_0002216,HP_0002227,HP_0000006,HP_0002226
OMIM_266500	HP_0001265,HP_0000662,HP_0001640,HP_0001761,HP_0003474,HP_0001251,HP_0003690,HP_0011675,HP_0012211,HP_0008064,HP_0000518,HP_0000639,HP_0007141,HP_0000407,HP_0000616,HP_0000508,HP_0000007,HP_0000458,HP_0000546,HP_0001635,HP_0001638,HP_0000510,HP_0002654,HP_0004689
OMIM_611490	HP_0010628,HP_0004576,HP_0003593,HP_0002240,HP_0011002,HP_0011002,HP_0011001,HP_0011463,HP_0001903,HP_0001903,HP_0000007,HP_0000505,HP_0002757,HP_0000967,HP_0000648,HP_0001923,HP_0000543,HP_0001873,HP_0001510,HP_0001744,HP_0003623
OMIM_601701	HP_0000682,HP_0002223,HP_0004322,HP_0002164,HP_0000581,HP_0000819,HP_0000958,HP_0001128,HP_0000677,HP_0002751,HP_0003202,HP_0000252,HP_0000175,HP_0002552,HP_0045025,HP_0012385,HP_0100018,HP_0000968,HP_0009473,HP_0000987,HP_0001999,HP_0000007,HP_0002804,HP_0007477,HP_0000966,HP_0000202,HP_0000204,HP_0000248,HP_0000621,HP_0000962
